pitcher,batter,pitch_type,spin,ivb,hb,count_balls,count_strikes,result,batter_side,pitcher_hand,date
OPP-11,H06,Fastball,2177,16.8,13.1,1,1,FoulBall,R,R,2026-09-06
OPP-11,H06,Slider,2323,2.7,-2.9,1,2,BallCalled,R,R,2026-09-06
OPP-11,H06,Fastball,2229,15.3,10.8,2,2,StrikeSwinging,R,R,2026-09-06
OPP-11,H04,Fastball,2200,14.3,8.4,0,0,StrikeSwinging,R,R,2026-09-06
OPP-11,H04,Fastball,2203,12.3,12.9,0,1,BallCalled,R,R,2026-09-06
OPP-11,H04,Fastball,2276,13.2,9.5,1,1,StrikeCalled,R,R,2026-09-06
OPP-11,H04,Changeup,1702,11.5,11.9,1,2,BallCalled,R,R,2026-09-06
OPP-11,H04,Fastball,2122,17.4,9.8,2,2,FoulBall,R,R,2026-09-06
OPP-11,H04,Slider,2217,-1.6,-5.1,2,2,FoulBall,R,R,2026-09-06
OPP-11,H04,Fastball,2245,13.4,9.7,2,2,FoulBall,R,R,2026-09-06
OPP-11,H04,Fastball,2270,15.5,11.7,2,2,BallCalled,R,R,2026-09-06
OPP-11,H04,Slider,2325,1.8,-7.7,3,2,StrikeCalled,R,R,2026-09-06
OPP-24,H06,Changeup,1781,9.3,12.4,0,0,BallCalled,L,L,2026-09-04
OPP-24,H06,Fastball,2314,13.7,3.7,1,0,InPlay,L,L,2026-09-04
OPP-24,H09,Fastball,2197,14.1,13.0,0,0,InPlay,R,L,2026-09-04
OPP-24,H09,Slider,2440,3.9,-10.2,0,0,StrikeCalled,L,L,2026-09-04
OPP-24,H09,Slider,2012,-1.4,-4.7,0,1,StrikeSwinging,L,L,2026-09-04
OPP-24,H09,Changeup,1731,8.9,9.4,0,2,FoulBall,L,L,2026-09-04
OPP-24,H09,Slider,2223,3.4,-7.3,0,2,FoulBall,L,L,2026-09-04
OPP-24,H09,Curveball,2658,-5.1,-10.8,0,2,InPlay,L,L,2026-09-04
OPP-24,H01,Changeup,1888,11.0,8.6,0,0,FoulBall,R,L,2026-09-04
OPP-24,H01,Slider,2512,5.6,-7.0,0,1,StrikeSwinging,R,L,2026-09-04
OPP-24,H01,Fastball,2248,13.3,7.7,0,2,InPlay,R,L,2026-09-04
OPP-24,H01,Fastball,2221,12.5,8.3,0,0,FoulBall,R,L,2026-09-04
OPP-24,H01,Changeup,1762,9.5,16.2,0,1,StrikeSwinging,R,L,2026-09-04
OPP-24,H01,Slider,2478,0.3,-7.9,0,2,InPlay,R,L,2026-09-04
OPP-24,H05,Fastball,2288,17.5,4.8,0,0,HitByPitch,R,L,2026-09-04
OPP-24,H06,Curveball,2501,-1.4,-12.7,0,0,BallCalled,R,L,2026-09-04
OPP-24,H06,Fastball,2164,18.2,7.9,1,0,StrikeCalled,R,L,2026-09-04
OPP-24,H06,Slider,2488,-0.6,-2.8,1,1,StrikeCalled,R,L,2026-09-04
OPP-24,H06,Changeup,1600,5.4,8.7,1,2,BallCalled,R,L,2026-09-04
OPP-24,H06,Fastball,2360,18.8,6.5,2,2,BallCalled,R,L,2026-09-04
OPP-24,H06,Changeup,1654,6.4,8.7,3,2,BallCalled,R,L,2026-09-04
OPP-24,H06,Fastball,2143,15.4,14.2,0,0,BallCalled,L,L,2026-09-04
OPP-24,H06,Fastball,2053,16.0,11.5,1,0,FoulBall,L,L,2026-09-04
OPP-24,H06,Slider,2185,3.9,-7.4,1,1,InPlay,L,L,2026-09-04
OPP-24,H06,Fastball,2228,14.6,9.2,0,0,BallCalled,L,L,2026-09-04
OPP-24,H06,Fastball,2291,15.8,10.4,1,0,InPlay,L,L,2026-09-04
OPP-24,H06,Fastball,2280,14.1,11.1,0,0,StrikeSwinging,L,L,2026-09-04
OPP-24,H06,Fastball,2199,16.8,6.5,0,1,FoulBall,L,L,2026-09-04
OPP-24,H06,Slider,2356,6.0,-8.3,0,2,FoulBall,L,L,2026-09-04
OPP-24,H06,Slider,2216,4.1,-6.7,0,2,StrikeSwinging,L,L,2026-09-04
OPP-24,H09,Slider,2316,6.1,-4.3,0,0,StrikeSwinging,R,L,2026-09-04
OPP-24,H09,Curveball,2346,-4.9,-10.4,0,1,FoulBall,R,L,2026-09-04
OPP-24,H09,Fastball,2264,12.7,8.1,0,2,BallCalled,R,L,2026-09-04
OPP-24,H09,Slider,2302,0.5,-3.9,1,2,InPlay,R,L,2026-09-04
OPP-24,H02,Slider,2446,0.7,-1.1,0,0,StrikeSwinging,R,L,2026-09-04
OPP-24,H02,Slider,2251,-3.2,-5.6,0,1,FoulBall,R,L,2026-09-04
OPP-24,H02,Slider,2101,2.3,-1.5,0,2,InPlay,R,L,2026-09-04
OPP-24,H05,Fastball,2412,19.2,7.7,0,0,StrikeCalled,R,L,2026-09-04
OPP-24,H05,Changeup,1713,6.8,8.3,0,1,HitByPitch,R,L,2026-09-04
OPP-24,H02,Slider,2453,-0.6,-5.8,0,0,BallCalled,L,L,2026-09-04
OPP-24,H02,Fastball,2125,14.2,13.9,1,0,InPlay,L,L,2026-09-04
OPP-24,H06,Changeup,1708,2.5,12.3,0,0,StrikeCalled,L,L,2026-09-04
OPP-24,H06,Fastball,2072,16.0,7.7,0,1,BallCalled,L,L,2026-09-04
OPP-24,H06,Changeup,1872,10.8,13.0,1,1,BallCalled,L,L,2026-09-04
OPP-24,H06,Fastball,2339,14.2,10.4,2,1,FoulBall,L,L,2026-09-04
OPP-24,H06,Slider,2259,0.5,-3.4,2,2,StrikeCalled,L,L,2026-09-04
OPP-24,H09,Fastball,2280,19.8,9.5,0,0,FoulBall,R,L,2026-09-04
OPP-24,H09,Fastball,2166,13.2,9.8,0,1,StrikeCalled,R,L,2026-09-04
OPP-24,H09,Changeup,2060,6.2,13.2,0,2,InPlay,R,L,2026-09-04
OPP-24,H04,Fastball,2187,16.1,3.5,0,0,BallCalled,R,L,2026-09-04
OPP-24,H04,Fastball,2137,15.1,8.3,1,0,BallCalled,R,L,2026-09-04
OPP-24,H04,Fastball,2182,12.0,3.0,2,0,FoulBall,R,L,2026-09-04
OPP-24,H04,Fastball,1978,12.4,6.2,2,1,FoulBall,R,L,2026-09-04
OPP-24,H04,Curveball,2551,-7.4,-14.1,2,2,StrikeSwinging,R,L,2026-09-04
OPP-24,H08,Slider,2205,1.0,-10.4,0,0,StrikeSwinging,R,L,2026-09-04
OPP-24,H08,Fastball,2411,16.4,11.2,0,1,StrikeCalled,R,L,2026-09-04
OPP-24,H08,Changeup,1563,10.0,15.1,0,2,InPlay,R,L,2026-09-04
OPP-24,H09,Fastball,2273,16.4,6.0,0,0,InPlay,R,L,2026-09-04
OPP-24,H05,Fastball,2274,16.3,10.2,0,0,FoulBall,L,L,2026-09-04
OPP-24,H05,Fastball,2446,15.4,15.3,0,1,BallCalled,L,L,2026-09-04
OPP-24,H05,Fastball,2079,13.3,8.1,1,1,StrikeSwinging,L,L,2026-09-04
OPP-24,H05,Curveball,2332,-4.7,-0.1,1,2,InPlay,L,L,2026-09-04
OPP-24,H06,Curveball,2499,-10.7,-2.8,0,0,BallCalled,L,L,2026-09-04
OPP-24,H06,Fastball,2239,13.0,6.7,1,0,StrikeCalled,L,L,2026-09-04
OPP-24,H06,Changeup,1828,9.2,13.0,1,1,BallCalled,L,L,2026-09-04
OPP-24,H06,Changeup,1779,7.0,8.7,2,1,StrikeCalled,L,L,2026-09-04
OPP-24,H06,Fastball,2237,12.8,6.6,2,2,InPlay,L,L,2026-09-04
OPP-24,H01,Slider,2369,1.3,-4.8,0,0,BallCalled,L,L,2026-09-04
OPP-24,H01,Fastball,2183,6.8,9.4,1,0,InPlay,L,L,2026-09-04
OPP-24,H04,Fastball,2241,17.7,10.7,0,0,StrikeSwinging,R,L,2026-09-04
OPP-24,H04,Changeup,1980,10.5,12.1,0,1,FoulBall,R,L,2026-09-04
OPP-24,H04,Curveball,2673,-6.5,-2.2,0,2,StrikeSwinging,R,L,2026-09-04
OPP-24,H01,Slider,2480,2.8,-8.7,0,0,BallCalled,L,L,2026-09-04
OPP-24,H01,Changeup,1695,10.6,12.4,1,0,StrikeCalled,L,L,2026-09-04
OPP-24,H01,Slider,2131,1.2,-3.9,1,1,StrikeSwinging,L,L,2026-09-04
OPP-24,H01,Changeup,1647,8.8,14.8,1,2,FoulBall,L,L,2026-09-04
OPP-24,H01,Slider,2568,2.3,-10.7,1,2,BallCalled,L,L,2026-09-04
OPP-24,H01,Fastball,2129,12.2,11.7,2,2,FoulBall,L,L,2026-09-04
OPP-24,H01,Changeup,1595,7.7,7.3,2,2,FoulBall,L,L,2026-09-04
OPP-24,H01,Curveball,2507,-3.3,-5.6,2,2,FoulBall,L,L,2026-09-04
OPP-24,H01,Slider,2380,-0.3,-6.8,2,2,StrikeSwinging,L,L,2026-09-04
OPP-24,H01,Changeup,1890,11.7,17.6,0,0,FoulBall,R,L,2026-09-04
OPP-24,H01,Fastball,2094,14.8,6.3,0,1,BallCalled,R,L,2026-09-04
OPP-24,H01,Fastball,2285,16.9,8.8,1,1,InPlay,R,L,2026-09-04
OPP-24,H07,Fastball,2092,16.1,9.7,0,0,BallCalled,R,L,2026-09-04
OPP-24,H07,Fastball,2201,13.4,13.6,1,0,InPlay,R,L,2026-09-04
OPP-24,H08,Fastball,2109,15.6,10.6,0,0,InPlay,R,L,2026-09-04
OPP-24,H06,Fastball,2239,13.8,9.5,0,0,InPlay,L,L,2026-09-04
OPP-24,H01,Fastball,2132,17.4,5.2,0,0,StrikeCalled,R,L,2026-09-04
OPP-24,H01,Changeup,1815,6.1,5.3,0,1,FoulBall,R,L,2026-09-04
OPP-24,H01,Curveball,2610,-10.1,-11.8,0,2,StrikeSwinging,R,L,2026-09-04
OPP-24,H09,Changeup,2012,6.3,15.3,0,0,InPlay,R,L,2026-09-04
